wavelength_nm	intensity_arb
315.047	411.857
315.064	730.267
315.081	687.26
315.097	583.729
315.114	452.788
315.13	740.915
315.147	573.891
315.163	442.361
315.18	612.042
315.196	990.475
315.213	607.539
315.229	450.854
315.246	736.534
315.262	1139.97
315.279	426.324
315.295	381.084
315.312	1224.23
315.328	890.923
315.345	261.221
315.361	596.781
315.377	1276.52
315.394	541.222
315.41	443.712
315.427	756.156
315.443	913.535
315.46	645.494
315.476	612.088
315.493	965.24
315.509	669.762
315.525	469.792
315.542	767.436
315.558	506.56
315.574	513.508
315.591	683.401
315.607	425.171
315.624	622.765
315.64	450.852
315.656	554.17
315.673	743.434
315.689	911.409
315.705	1083.82
315.722	987.829
315.738	1131.12
315.754	1237.15
315.771	1578.65
315.787	2108.07
315.803	2726.63
315.819	3893.1
315.836	5602.18
315.852	4545.14
315.868	4782.99
315.885	3016.02
315.901	2490.46
315.917	576.659
315.933	155.557
315.95	106.85
315.966	120.029
315.982	120.668
315.998	90.2262
316.015	80.0372
316.031	93.2814
316.047	87.3249
316.063	122.746
316.079	86.8166
316.096	75.728
316.112	81.6139
316.128	39.1795
316.144	51.3481
316.16	109.26
316.177	118.165
316.193	67.8293
316.209	27.67
316.225	52.7187
316.241	31.1859
316.257	47.1658
316.273	27.3552
316.29	28.0573
316.306	59.6571
316.322	62.9139
316.338	22.7212
316.354	25.5184
316.37	47.0281
316.386	60.222
316.402	36.7914
316.418	20.5301
316.434	47.9579
316.451	25.1922
316.467	51.1901
316.483	58.983
316.499	64.5519
316.515	27.7161
316.531	41.2915
316.547	33.1312
316.563	43.8583
316.579	45.6106
316.595	36.6503
316.611	89.6121
316.627	71.5986
316.643	46.2689
316.659	40.1112
316.675	31.9806
316.691	49.8837
316.707	54.8707
316.723	72.8156
316.739	39.7548
316.755	44.7249
316.771	17.1713
316.787	33.5457
316.803	30.1646
316.819	40.5928
316.835	39.7535
316.85	53.7956
316.866	43.1214
316.882	60.5167
316.898	45.6266
316.914	42.2843
316.93	47.0485
316.946	123.384
316.962	88.63
316.978	66.0907
316.994	30.8703
317.009	28
317.025	16.243
317.041	32.7532
317.057	30.6661
317.073	28.3352
317.089	19.1327
317.104	50.7656
317.12	41.6877
317.136	50.7033
317.152	24.2551
317.168	32.2032
317.184	58.04
317.199	18.885
317.215	27.9149
317.231	25.6132
317.247	51.4047
317.262	43.8866
317.278	60.5381
317.294	69.8784
317.31	72.6026
317.326	48.8292
317.341	42.7562
317.357	61.433
317.373	42.5493
317.388	38.7511
317.404	56.8508
317.42	69.5958
317.436	114.236
317.451	64.5411
317.467	80.8832
317.483	74.0661
317.498	62.1332
317.514	117.129
317.53	45.3131
317.545	39.6495
317.561	49.0605
317.577	50.1675
317.592	69.2073
317.608	107.538
317.624	62.1491
317.639	75.9042
317.655	46.0529
317.671	48.7005
317.686	46.1204
317.702	60.841
317.717	25.2532
317.733	53.0793
317.749	74.7206
317.764	44.9811
317.78	25.9326
317.795	28.8086
317.811	18.3966
317.826	10.8782
317.842	22.3845
317.858	8.51616
317.873	24.7708
317.889	30.753
317.904	19.1206
317.92	5.30188
317.935	8.57338
317.951	32.0675
317.966	24.1831
317.982	42.0868
317.997	15.1262
318.013	34.3637
318.028	67.2652
318.044	30.2179
318.059	22.1196
318.075	13.0091
318.09	32.823
318.106	19.2194
318.121	22.43
318.137	36.1922
318.152	59.3745
318.167	33.934
318.183	16.4328
318.198	9.96189
318.214	24.7107
318.229	16.0158
318.244	20.6536
318.26	47.9808
318.275	76.5681
318.291	71.6458
318.306	31.7397
318.321	36.9815
318.337	55.6737
318.352	48.7069
318.368	63.5034
318.383	23.4586
318.398	30.155
318.414	39.4557
318.429	30.1097
318.444	27.0626
318.46	65.2108
318.477	37.632
318.494	38.6045
318.511	32.4205
318.528	68.6566
318.545	41.2213
318.562	52.6815
318.579	53.1153
318.596	91.8491
318.613	63.4386
318.63	63.9467
318.647	36.9307
318.664	65.8966
318.681	68.1494
318.698	44.4769
318.715	59.996
318.731	49.8939
318.748	45.5222
318.765	39.0334
318.782	51.7803
318.799	59.5685
318.816	39.9239
318.833	46.9188
318.85	78.5897
318.867	64.0874
318.884	60.1789
318.901	61.234
318.918	64.794
318.934	63.9368
318.951	80.878
318.968	66.3543
318.985	52.642
319.002	56.2607
319.019	56.286
319.036	53.8941
319.053	61.6213
319.069	70.6034
319.086	72.2611
319.103	90.1405
319.12	72.9861
319.137	46.926
319.154	80.9619
319.17	84.2886
319.187	67.2364
319.204	87.3585
319.221	71.045
319.237	59.6638
319.254	59.8375
319.271	85.9948
319.288	66.6331
319.305	60.2208
319.321	85.0262
319.338	76.8464
319.355	48.5929
319.372	70.9667
319.388	54.9864
319.405	65.8156
319.422	78.9955
319.438	60.3508
319.455	57.2274
319.472	96.474
319.489	82.5116
319.505	53.1055
319.522	53.1437
319.539	62.622
319.555	61.3564
319.572	55.8958
319.589	55.3754
319.605	36.2295
319.622	70.2648
319.639	84.6938
319.655	43.8449
319.672	58.5808
319.689	65.0507
319.705	66.7904
319.722	32.5156
319.738	64.4714
319.755	63.1889
319.772	35.0469
319.788	51.6814
319.805	69.6675
319.821	54.5543
319.838	56.4793
319.855	36.5156
319.871	111.415
319.888	59.3606
319.904	93.2647
319.921	92.3936
319.937	107.853
319.954	95.5381
319.97	158.362
319.987	125.923
320.003	179.272
320.02	216.992
320.036	233.429
320.053	230.196
320.069	239.023
320.086	167.359
320.102	167.353
320.119	90.4714
320.135	70.4637
320.152	84.5469
320.168	30.0571
320.185	43.4586
320.201	67.5359
320.218	27.4344
320.234	50.7996
320.251	31.3424
320.267	27.6221
320.283	20.3588
320.3	40.2895
320.316	20.6579
320.333	16.9184
320.349	14.8395
320.365	25.0179
320.382	31.4714
320.398	31.9382
320.415	27.0037
320.431	8.24146
320.447	15.202
320.464	10.6169
320.48	16.7057
320.496	20.9617
320.513	37.8031
320.529	13.7785
320.545	14.5219
320.562	7.56394
320.578	12.2119
320.594	10.1022
320.611	21.8254
320.627	19.8242
320.643	9.87378
320.66	22.4445
320.676	49.715
320.692	12.7998
320.708	14.0088
320.725	8.69611
320.741	26.047
320.757	38.7411
320.773	11.0991
320.79	11.9229
320.806	11.4626
320.822	14.4491
320.838	20.746
320.855	16.6319
320.871	21.4569
320.887	12.0902
320.903	26.769
320.919	57.8337
320.936	11.3748
320.952	25.7393
320.968	19.1716
320.984	41.2942
321	13.417
321.016	17.3778
321.033	41.1606
321.049	37.4156
321.065	17.4962
321.081	12.1619
321.097	6.3839
321.113	13.9687
321.129	8.94804
321.146	10.7611
321.162	7.62795
321.178	27.8643
321.194	20.9096
321.21	8.0667
321.226	15.9098
321.242	20.1355
321.258	17.1124
321.274	21.5086
321.29	15.5355
321.306	33.0688
321.322	20.8723
321.338	44.6831
321.354	45.2728
321.371	33.2259
321.387	25.8314
321.403	8.97405
321.419	27.1627
321.435	5.40352
321.451	37.0691
321.467	6.02024
321.483	7.89505
321.499	32.3773
321.515	28.3337
321.53	38.8585
321.546	22.8733
321.562	14.3045
321.578	5.21868
321.594	6.38274
321.61	29.2526
321.626	7.9806
321.642	10.1416
321.658	6.68784
321.674	26.2731
321.69	17.2993
321.706	23.1554
321.722	11.0893
321.738	19.2742
321.753	46.2893
321.769	17.3302
321.785	16.5058
321.801	19.7667
321.817	13.4714
321.833	8.07261
321.849	37.0918
321.865	11.4592
321.88	8.56026
321.896	19.5255
321.912	17.2803
321.928	16.4785
321.944	6.67865
321.959	22.8163
321.975	35.0889
321.991	13.1394
322.007	10.3515
322.023	45.0867
322.038	22.4153
322.054	28.2153
322.07	26.392
322.086	11.8491
322.101	41.3837
322.117	23.239
322.133	21.6288
322.149	23.5574
322.164	7.72925
322.18	13.5115
322.196	27.0481
322.212	21.9697
322.227	25.5139
322.243	4.98013
322.259	28.8991
322.274	35.3696
322.29	38.2401
322.306	18.4568
322.321	8.01108
322.337	11.8151
322.353	6.88368
322.368	22.825
322.384	9.4393
322.4	21.8937
322.415	17.0995
322.431	14.5834
322.447	29.8318
322.462	20.419
322.478	29.9338
322.493	30.072
322.509	47.3151
322.525	49.6158
322.54	10.2628
322.556	20.0481
322.571	33.1359
322.587	21.8464
322.603	6.7148
322.618	20.697
322.634	39.8901
322.649	16.1448
322.665	29.0625
322.68	9.70875
322.696	13.9162
322.711	17.6054
322.726	41.3315
322.743	44.835
322.761	57.2443
322.778	34.7983
322.795	25.5598
322.813	18.9446
322.83	29.4044
322.847	24.1426
322.864	33.2216
322.882	22.2409
322.899	21.6387
322.916	38.2118
322.933	41.4942
322.95	33.3333
322.968	52.0264
322.985	22.2338
323.002	26.585
323.019	45.7733
323.036	32.9552
323.054	33.2428
323.071	42.5089
323.088	32.3569
323.105	55.4223
323.122	35.9295
323.139	50.2977
323.156	36.7765
323.174	33.632
323.191	42.9367
323.208	40.5386
323.225	36.6472
323.242	32.0865
323.259	45.711
323.276	66.867
323.293	44.2623
323.311	58.4862
323.328	44.1442
323.345	68.3212
323.362	40.5508
323.379	66.6199
323.396	50.2617
323.413	59.6722
323.43	40.6862
323.447	35.6398
323.464	33.5689
323.481	59.6172
323.498	49.9429
323.515	61.67
323.532	57.704
323.549	68.0519
323.566	65.9821
323.583	29.3014
323.6	34.1922
323.617	42.3513
323.634	30.5262
323.651	27.5071
323.668	48.5911
323.685	28.707
323.702	33.7727
323.719	25.783
323.736	21.2625
323.753	22.6642
323.77	43.2458
323.787	28.1481
323.804	32.2018
323.821	21.9108
323.838	44.4785
323.854	23.5447
323.871	26.1938
323.888	16.3353
323.905	22.7058
323.922	32.1529
323.939	30.4851
323.956	31.3591
323.973	42.5282
323.99	37.0412
324.006	31.7222
324.023	19.9768
324.04	21.8774
324.057	34.358
324.074	48.7359
324.091	51.201
324.107	24.164
324.124	40.0101
324.141	33.9927
324.158	35.296
324.175	24.9507
324.191	29.9646
324.208	22.9625
324.225	24.557
324.242	38.48
324.259	22.2734
324.275	20.9507
324.292	41.8608
324.309	34.3396
324.326	27.9277
324.342	23.2869
324.359	37.6666
324.376	38.1544
324.393	49.5656
324.409	46.1186
324.426	75.247
324.443	45.1472
324.459	50.8363
324.476	21.4218
324.493	24.3739
324.509	30.2758
324.526	22.4385
324.543	33.6331
324.559	43.3791
324.576	29.1264
324.593	23.1962
324.609	20.9541
324.626	44.4009
324.643	50.6743
324.659	25.6217
324.676	14.992
324.693	25.2868
324.709	37.3655
324.726	35.9823
324.742	33.9079
324.759	22.2467
324.776	15.8173
324.792	14.3455
324.809	15.5805
324.825	10.3741
324.842	6.63199
324.858	5.86824
324.875	20.4116
324.891	8.30015
324.908	11.5575
324.925	11.6058
324.941	22.9553
324.958	3.62794
324.974	11.8213
324.991	12.0571
325.007	20.847
325.024	23.2207
325.04	21.4198
325.057	15.476
325.073	11.9688
325.09	9.7186
325.106	29.5994
325.122	35.5155
325.139	29.7057
325.155	14.0459
325.172	26.7806
325.188	7.45704
325.205	12.3652
325.221	6.87001
325.238	17.1418
325.254	22.1767
325.27	6.7166
