system_id	region_id	source_line_id	air_wavelength_nm	einstein_a_s-1	upper_e_v_cm-1	upper_e_j_cm-1	upper_j	upper_v	lower_v	branch
n2-second-positive	n2-sps-380	144417	383.310324268	1293.28387415	33572.1225	8669.033	71	2	7	OP12
n2-second-positive	n2-sps-380	92510	383.311558372	3754.26210426	37230.366	744.525	20	4	1	RQ21
n2-second-positive	n2-sps-380	25524	383.312410497	1068.07587201	35447.3395	10754.1735	79	3	10	SR21
n2-second-positive	n2-sps-380	81151	383.315025662	1221.87242223	35447.3395	4422.522	51	3	9	PQ12
n2-second-positive	n2-sps-380	17997	383.317001751	7039.70021137	37230.366	1400.6395	29	4	1	QR12
n2-second-positive	n2-sps-380	172328	383.324384717	1278.22172204	33572.1225	8671.5465	70	2	7	OP23
n2-second-positive	n2-sps-380	6667	383.327080857	3065037.8758	35447.3395	2334.536	37	3	9	R1
n2-second-positive	n2-sps-380	36634	383.330621893	2279618.53232	37230.366	815.5345	21	4	1	R2
n2-second-positive	n2-sps-380	176362	383.331797355	1669.59319368	37230.366	3974.0825	48	4	1	OP23
n2-second-positive	n2-sps-380	185583	383.335301745	4074.11567809	37230.366	1316.0295	26	4	1	QP32
n2-second-positive	n2-sps-380	109160	383.336447848	1270.52949696	35447.3395	4425.793	50	3	9	PQ23
n2-second-positive	n2-sps-380	155738	383.337880487	2931.40012435	35447.3395	3153.594	42	3	9	QP21
n2-second-positive	n2-sps-380	53367	383.338475586	1055.94008936	35447.3395	10755.56	78	3	10	SR32
n2-second-positive	n2-sps-380	139113	383.340025792	2392799.30156	37230.366	2274.4985	37	4	1	P1
n2-second-positive	n2-sps-380	116425	383.340914778	1215.50787355	33572.1225	4334.064	48	2	6	RQ32
n2-second-positive	n2-sps-380	73815	383.346270824	2334.20269128	37230.366	1306.135	28	4	1	Q1
n2-second-positive	n2-sps-380	55163	383.346645532	19550.3304964	37230.366	501.1005	15	4	1	SR32
n2-second-positive	n2-sps-380	137304	383.353522663	2516684.44149	35447.3395	15946.6875	98	3	10	P1
n2-second-positive	n2-sps-380	45884	383.354676223	6885.86031705	37230.366	1405.9925	28	4	1	QR23
n2-second-positive	n2-sps-380	21250	383.355653448	2416.20728977	31630.588	5501.2265	55	1	3	SR21
n2-second-positive	n2-sps-380	153723	383.359878351	2057.70821459	33572.1225	5423.8395	55	2	6	QP21
n2-second-positive	n2-sps-380	4640	383.361245035	3309229.73585	33572.1225	4327.6635	50	2	6	R1
n2-second-positive	n2-sps-380	34621	383.363111383	3054277.20117	35447.3395	2339.092	36	3	9	R2
