250	1.70775
250.006	-0.0289558
250.013	0.328351
250.019	9.99577
250.026	14.7511
250.032	7.84032
250.038	19.6941
250.045	3.78216
250.051	3.5709
250.058	7.30692
250.064	1.79956
250.071	15.6531
250.077	9.50272
250.084	5.99168
250.09	1.06231
250.096	0.704192
250.103	1.44108
250.109	3.25414
250.116	-0.693472
250.122	0.275752
250.129	0.938886
250.135	1.5786
250.141	5.49492
250.148	1.13297
250.154	1.94231
250.161	0.9729
250.167	-0.682787
250.174	-0.604005
250.18	0.401313
250.186	8.48477
250.193	1.46169
250.199	0.787954
250.206	0.926442
250.212	2.13212
250.219	6.28362
250.225	1.68539
250.231	3.74361
250.238	10.6818
250.244	5.96979
250.251	4.58997
250.257	2.55382
250.263	1.58466
250.27	-1.28961
250.276	2.48562
250.283	0.785889
250.289	12.9499
250.295	24.4251
250.302	14.1872
250.308	7.36076
250.315	13.1833
250.321	6.54516
250.327	12.9703
250.334	14.8186
250.34	2.15036
250.347	-0.983957
250.353	2.94095
250.359	20.9796
250.366	27.255
250.372	4.75341
250.379	1.34373
250.385	10.1449
250.391	5.91831
250.398	-1.34212
250.404	6.43362
250.41	32.9478
250.417	78.2366
250.423	25.8301
250.43	5.93182
250.436	-0.467231
250.442	-0.136419
250.449	6.87644
250.455	2.30953
250.462	-1.3237
250.468	10.5011
250.474	3.32652
250.481	2.65557
250.487	-2.20117
250.493	-3.2793
250.5	-2.55469
250.506	-0.987744
250.512	-0.0535628
250.519	3.39721
250.525	-0.88742
250.532	-2.65783
250.538	-0.0796331
250.544	10.1779
250.551	6.83546
250.557	6.31163
250.563	-1.03094
250.57	-2.36481
250.576	6.71224
250.582	3.47801
250.589	-0.986198
250.595	-0.968518
250.601	2.81575
250.608	11.5113
250.614	-1.47123
250.62	3.98293
250.627	-1.05531
250.633	-0.757279
250.64	-1.40322
250.646	-2.7477
250.652	-3.4967
250.659	-3.2791
250.665	-2.95689
250.671	-4.64757
250.678	-3.45855
250.684	-2.63027
250.69	-2.34903
250.697	0.396618
250.703	6.92259
250.709	14.5871
250.716	-0.88453
250.722	-3.22255
250.728	2.55626
250.735	20.3408
250.741	-2.082
250.747	-3.60413
250.753	-0.549132
250.76	4.12634
250.766	4.60456
250.772	-2.14986
250.779	-4.38857
250.785	-3.43548
250.791	-1.21824
250.798	11.0174
250.804	12.0041
250.81	0.187268
250.817	1.83226
250.823	7.32628
250.829	0.958927
250.836	-3.43864
250.842	-5.02959
250.848	-5.29183
250.854	-5.92824
250.861	-3.83324
250.867	3.32423
250.873	0.236406
250.88	0.560428
250.886	11.3359
250.892	0.325542
250.899	5.48216
250.905	8.60519
250.911	-1.66884
250.917	3.28323
250.924	0.406914
250.93	-4.80651
250.936	-0.870064
250.943	12.367
250.949	23.9036
250.955	12.3811
250.961	-2.55368
250.968	-2.54967
250.974	-1.65347
250.98	-4.82456
250.987	-1.64034
250.993	9.92371
250.999	6.76057
251.005	-1.12804
251.012	-3.76171
251.018	0.228028
251.024	11.0108
251.03	2.76489
251.037	3.25724
251.043	-4.98306
251.049	-2.60259
251.056	5.07015
251.062	1.38071
251.068	10.1672
251.074	19.2084
251.081	20.8361
251.087	3.90555
251.093	9.91916
251.099	13.1171
251.106	-2.6528
251.112	0.656433
251.118	4.91097
251.124	-4.14197
251.131	-5.95938
251.137	-6.27401
251.143	-4.22974
251.149	11.0776
251.156	-1.65601
251.162	-0.187502
251.168	15.528
251.174	6.60983E-4
251.181	5.85159
251.187	1.63899
251.193	8.47577
251.199	-3.31547
251.205	-4.39218
251.212	-5.71534
251.218	-2.39497
251.224	-6.03404
251.23	-7.84462
251.237	-5.25722
251.243	-1.34666
251.249	-1.59684
251.255	4.65942
251.262	6.98393
251.268	31.0334
251.274	-3.9805
251.28	-4.52947
251.286	-5.14832
251.293	-5.21146
251.299	-7.52234
251.305	-6.19822
251.311	-3.9663
251.318	-6.97838
251.324	-5.39894
251.33	-8.18031
251.336	-6.40223
251.342	-4.52268
251.349	2.27907
251.355	-2.13185
251.361	-4.8476
251.367	7.89279
251.373	-3.26086
251.38	5.85047
251.386	-2.72418
251.392	-7.09432
251.398	-4.30063
251.404	4.05391
251.411	-5.87895
251.417	0.80202
251.423	8.12404
251.429	-7.0707
251.435	-3.75397
251.442	5.56913
251.448	-6.15386
251.454	-3.20962
251.46	-6.69561
251.466	-7.41309
251.473	-2.94553
251.479	1.09715
251.485	5.66303
251.491	-4.43092
251.497	-6.9667
251.504	-7.31669
251.51	-8.36186
251.516	-6.83656
251.522	-0.538528
251.528	-3.21828
251.534	-8.31668
251.541	-10.5758
251.547	-8.94579
251.553	-9.30623
251.559	-7.83072
251.565	4.77478
251.571	-5.77396
251.578	-6.12783
251.584	-6.79649
251.59	-5.40905
251.596	-2.06788
251.602	13.0797
251.608	5.71174
251.615	-1.75588
251.621	-8.83827
251.627	-1.89289
251.633	-4.25089
251.639	-8.00366
251.645	-2.52691
251.652	-7.78682
251.658	-9.08154
251.664	-6.31786
251.67	-6.52852
251.676	-9.89043
251.682	-8.53061
251.688	-10.5851
251.695	-8.87715
251.701	-4.65481
251.707	-4.63824
251.713	-8.49237
251.719	-8.92859
251.725	-9.93804
251.731	-9.13902
251.738	-8.18789
251.744	-7.69013
251.75	-1.19052
251.756	-6.54337
251.76	19.8457
251.766	26.2377
251.773	49.2992
251.78	41.0924
251.786	18.9268
251.793	2.5756
251.8	2.96093
251.806	2.74034
251.813	9.50957
251.82	16.8394
251.826	22.6812
251.833	28.7346
251.84	4.30316
251.846	13.0011
251.853	13.5068
251.86	3.89322
251.866	8.67921
251.873	14.1797
251.88	13.6137
251.886	37.9846
251.893	43.0946
251.899	8.10873
251.906	5.29171
251.913	13.2092
251.919	8.34422
251.926	9.17162
251.933	7.05978
251.939	16.0134
251.946	12.4421
251.953	4.97002
251.959	14.7384
251.966	17.4002
251.973	10.2462
251.979	8.81913
251.986	9.15078
251.992	4.75355
251.999	6.78826
252.006	27.2359
252.012	25.0628
252.019	28.2417
252.026	8.47035
252.032	10.1347
252.039	30.2921
252.045	8.76118
252.052	4.37794
252.059	11.8198
252.065	2.43436
252.072	2.18578
252.079	0.735187
252.085	5.10747
252.092	11.1976
252.098	5.14076
252.105	5.46343
252.112	8.55569
252.118	32.5895
252.125	12.1988
252.131	13.1096
252.138	10.2554
252.145	4.43516
252.151	5.54145
