Date: 17-Jul-2018 19:09:08
Carousel: 18071714
Sample: MUSCOC17
Target: 6
Location: 1
RockType: FOIDITE
Atmosphere: EARTH
DistToTarget: 202
LocationsPerSample: 6
IntegrationsPerLocation: 6
PulsesPerIntegration: 10
LaserAttenuation: 5.00
LaserRepetitionRate: 10
IntegrationTime: 1
IntegrationsAveraged: 1
UVTriggerDelay: 0
VISTriggerDelay: 0
VNIRTriggerDelay: 0
DarkSubtracted: YES
BoxcarSmoothing: 0
PulsesDiscarded: 10
SpectColumnsDiscarded: 1
SaturatedIntegrations: NONE
wave,i1,i2,i3,i4,i5
245.942000,0.000000,0.000000,0.000000,0.000000,0.000000
245.996000,0.000000,0.000000,0.000000,0.000000,0.000000
246.050000,0.000000,0.000000,0.000000,0.000000,0.000000
246.102000,0.000000,0.000000,0.000000,0.000000,0.000000
246.156000,0.000000,0.000000,0.000000,0.000000,0.000000
246.209000,0.000000,0.000000,0.000000,0.000000,0.000000
246.261000,0.000000,0.000000,0.000000,0.000000,0.000000
246.316000,0.000000,0.000000,0.000000,0.000000,0.000000
246.369000,0.000000,0.000000,0.000000,0.000000,0.000000
246.422000,0.000000,0.000000,0.000000,0.000000,0.000000
246.475000,0.000000,0.000000,0.000000,0.000000,0.000000
246.528000,0.000000,0.000000,0.000000,0.000000,0.000000
246.581000,0.000000,0.000000,0.000000,0.000000,0.000000
246.635000,0.000000,0.000000,0.000000,0.000000,0.000000
246.688000,0.000000,0.000000,0.000000,0.000000,0.000000
246.741000,27819262325.902653,18329892961.090374,52637612972.334770,59937127868.344223,28549213815.503597
246.794000,38911983674.117538,30179528117.120762,46916734601.364594,44733620712.115395,47644439231.114311
246.847000,36862893816.818092,39055180453.501114,18593838511.126312,40516704877.956444,53670424698.054527
246.900000,30920114228.606300,21393706421.504429,9668896812.763664,34584117231.337791,36782519032.976685
246.953000,32366249346.721474,22364661565.760330,32366249346.721474,44511034509.317154,26651056329.029388
247.007000,54421287683.979752,39155056333.668541,44970763514.739471,36974166140.766937,33339349152.597607
247.060000,36688157996.962959,24172465302.346840,34479506344.971878,38896809648.954041,41105461300.945114
247.113000,31310709130.126644,29090383072.310703,9847557237.905878,29090383072.310703,39451904675.451759
247.166000,35004478200.156799,38728358859.747955,42452239519.339104,50644776970.439629,36494030463.993263
247.219000,35559058482.129623,33311909087.120846,34060958885.457104,48292905053.846039,41551456868.819702
247.272000,31117687976.170170,40813478903.498840,13217766264.178783,49763439759.494522,38575988689.499916
247.325000,32728258608.103958,29790060827.825302,16568170816.571329,26117313602.476971,43746500284.148941
247.378000,34908305906.827354,35631377835.852547,23339155042.424286,36354449764.877739,45031312913.180038
247.431000,39748408460.118622,36899343841.772636,24790819213.802200,61116393097.713493,38323876150.945633
247.484000,25562223401.709156,38888870358.088005,27666430815.874233,29770638230.039318,46604297543.359978
247.537000,25939080549.821373,31925022215.164761,16627615737.064983,43896905545.851555,39906277768.955948
247.592000,29041392039.429535,26933549068.825783,34662306627.706223,48714593098.397919,58551193627.882111
247.644000,36959289702.281822,22564017669.862926,29418909113.871929,32160865691.475525,50669072590.299828
247.697000,31674684233.015594,46319371864.392311,27015010895.759361,29677681374.191494,44322369005.568222
247.751000,35517532191.445648,25054102085.946102,13893109973.413258,18776044022.646378,28541912121.112621
247.803000,20846767200.288452,29716119063.683907,26304829885.454884,31080634734.975517,36538697420.141953
247.856000,32360891886.897831,33020944072.692917,29060630957.922421,38961413744.848663,40281518116.438835
247.910000,24666994238.306152,23294487603.717251,23980740921.011703,28098260824.778416,45940847074.434166
247.962000,33653598111.329975,31647754515.290440,18275463875.026882,40339743431.461746,35659441707.369507
248.015000,31829216020.468246,25337137965.301926,37672086270.117935,48059411158.384056,26635553576.335190
248.069000,43262941933.661850,38541304269.182510,25050910942.098705,46635540265.432800,43937461600.016029
248.121000,30499056102.671379,48155448319.345917,29191175197.732521,48809388771.815353,40308162889.712791
248.174000,18964081593.753040,31748855701.901173,19603320299.160450,31748855701.901173,31748855701.901173
248.228000,42235506089.658150,28909667183.192829,26244499401.899769,48898425542.890800,38237754417.718552
248.280000,34010002394.644787,50826358570.760727,38537482903.599068,50179575640.910103,42418180482.702759
248.333000,49587412884.108063,44530339615.473824,24934180699.516106,53380217835.583755,56540888628.480164
248.387000,35956485330.356842,32029993504.594913,37919731243.237793,51662452633.404510,44463884286.174332
248.440000,40113214110.316757,39449271256.077026,32145899859.440041,69990642551.104401,44760814089.994827
248.492000,44762634614.930740,35279769690.622147,35279769690.622147,46027016604.838562,46659207599.792458
248.546000,26652483833.561665,40944133932.533104,34447929342.091537,37696031637.312317,35747170260.179848
248.599000,35383243468.190460,33389821300.968449,26080606687.821129,52659568917.447762,40699035914.115776
248.651000,32378947540.085640,28594395230.205502,33640464976.712357,36794258568.279137,36794258568.279137
248.705000,36978217180.177994,42738285625.551865,38898239995.302620,56818452936.465790,40178255205.385704
248.758000,39640865472.630005,47474741906.379410,41599334581.067360,43557803689.504707,37029573328.046883
248.810000,26875270774.802841,37425409141.819748,29357656272.924461,53560914879.610283,43631372887.123795
248.864000,40901423649.009682,35843626306.409943,35211401638.584976,51649243002.034119,49752568998.559219
248.917000,53100573387.564819,45379453325.825333,35084626576.839371,54387426731.188057,55030853402.999695
248.969000,34386856036.169678,41759124923.328636,27628942889.607296,48517038069.891029,42373480663.925224
249.023000,49732070263.000801,49732070263.000801,34174592599.913994,61555753286.946770,57199659541.282455
249.076000,44877237973.432709,51746734006.474602,33636244464.818722,67359224990.660713,38632241579.758278
249.129000,48951937786.829971,45095767632.944016,38668817376.467438,74659738812.736313,66304703479.316750
249.180000,40156088131.582344,41360269033.487350,34135183622.057293,61229253914.920013,57616711209.204979
249.234000,33019661274.529015,47763323983.155922,26876468479.267799,63735625250.835075,49606281821.734283
249.287000,49354944703.740868,36811506586.305847,42456053739.151604,65661414256.406395,49982116609.612617
249.339000,47012622492.363472,35064479818.695389,40441144021.846031,62545207968.131996,47610029626.046883
249.393000,54605927188.494125,53992951392.178001,44798314447.436256,74834128466.925995,50315096614.281311
249.446000,58381537705.430710,63424693931.934624,44512858082.544952,74771795441.568436,64055088460.247620
249.498000,42862432627.549202,32522736621.218838,29481649560.533436,45903519688.234604,38604910742.589638
249.552000,36882428371.538231,26992168249.561489,31937298310.549858,45536405978.267876,39354993402.032417
249.605000,44570056778.742722,33431839735.694027,35288209242.868813,56327063657.516350,43332477107.292870
249.658000,35796785148.563278,20134603994.597828,29531912686.977097,48326530071.735641,45194093840.942551
249.710000,29254505181.777664,29862917767.880493,18911491218.029587,44464819834.348358,38380693973.320084
249.763000,23770585270.548561,24377063704.099052,40145502976.411919,47423244179.017853,43784373577.714890
249.816000,44062963931.199707,31270490531.819149,31270490531.819149,49545452530.934219,38580475331.465187
249.869000,39176229062.839264,35522487492.211769,25779176637.205120,45265798347.218422,48310582989.408005
249.922000,35278176228.647690,26180652272.835957,25574150675.781837,52260220946.162910,43162696990.351181
249.975000,47733069873.704613,37976416840.612411,27000182178.383678,48342860688.272865,34317671953.202831
250.028000,38748214486.365517,49103632506.302498,39357356722.832397,55804197107.438210,50321916979.236267
250.081000,40304777504.044579,50814587402.841042,16812261259.676039,34740760498.799408,43395898062.514130
250.133000,28384069938.154758,21697519256.709621,36894225350.903114,49051590226.257927,41149303057.277298
250.186000,46655199342.566574,42995968021.580956,31408402171.793190,49704558776.721260,48484815003.059380
250.239000,40547195769.889198,47873163387.033569,39326201167.031807,50315152592.748337,33831725454.173553
250.292000,45924581580.521210,31970250003.027065,35003800345.960571,34397090277.373871,39250770826.067497
250.345000,36328511788.287224,27828247191.584927,26006761920.863007,45435938141.896820,48471746926.433357
250.398000,34691943736.652962,48320921633.195198,42745430675.518829,48940420628.492577,41506432684.924080
250.450000,50099444395.572021,47670380424.877625,42204986490.815224,52528508366.266426,57386636307.655235
250.503000,45310123641.664368,45912919078.138840,31445828602.751541,39282169276.919655,55557646061.730370
250.556000,36037355555.803452,46281137070.040199,38447657088.565033,49896589369.182579,50499164752.372986
250.609000,49966064437.709091,53546910462.442039,44594795400.609627,69660717573.740402,60708602511.907990
