element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
S	2	"200.2278"	"0.0007"	"200.22738"	"0.00020"	"8500"	""		"13.660211"	"19.850376"	"3s2.3p2.(3P).3d"	"4F"	"3/2"	"3s2.3p2.(3P<0>).4f"	"2[3]*"	"5/2"	4	6		""	"L5883"	
Fe	1	"200.23799"	"0.00006"	"200.238154"	"0.000007"	"13"	""		"0.08728574"	"6.27711812"	"3d6.4s2"	"a 5D"	"2"	"3d6.(5D).4s (6D).5p"	"n 7P*"	"3"	5	7		""	"L11631"	
Fe	2	"200.2483"	"0.0005"	"200.248420"	"0.000010"	"210d?"	""		"7.8803734"	"14.0698885"	"3d6.(3F2).4p"	"x 4D*"	"1/2"	"3d6.(5D).7s"	"4D"	"3/2"	2	4		""	"L18349c142"	
Fe	2	"200.25557"	"0.00005"	"200.255585"	"0.000011"	"1000"	""		"7.1388229"	"13.3281166"	"3d5.4s2"	"d 4P"	"1/2"	"3d6.(5D).6p"	"4D*"	"3/2"	2	4		""	"L18349c139"	
Cr	2	"200.27602"	"0.00007"	"200.276018"	"0.000007"	"7"	""		"2.54317169"	"8.73183399"	"3d5"	"a 4G"	"5/2"	"3d4.(3G).4p"	"x 4G*"	"7/2"	6	8		""	"L18847"	
Cu	2	"200.29033"	"0.00020"	"200.29020"	"0.00012"	"73000"	""		"10.9856318"	"17.173856"	"3d8.4s2"	"3P"	"1"	"3d8.(3P).4s.4p.(3P*)"	"3S*"	"1"	3	3		""	"L19804c170"	
Cr	2	"200.299020"	"0.000015"	"200.299011"	"0.000007"	"41"	""		"2.54388199"	"8.73183399"	"3d5"	"a 4G"	"7/2"	"3d4.(3G).4p"	"x 4G*"	"7/2"	8	8		""	"L18847"	
Cr	2	"200.30491"	"0.00008"	"200.304941"	"0.000007"	"8"	""		"2.54406517"	"8.73183399"	"3d5"	"a 4G"	"9/2"	"3d4.(3G).4p"	"x 4G*"	"7/2"	10	8		""	"L18847"	
Fe	2	"200.31909"	"0.00013"	"200.31909"	"0.00005"	"600"	"3.9e+07"	D+	"6.7030021"	"12.8903340"	"3d6.(3P1).4s"	"c 2P"	"1/2"	"3d5.(4P).4s.4p.(3P*)"	"2S*"	"1/2"	2	2		"T6892c83"	"L18349c139"	
Ar	2	"200.3325"	"0.0006"	"200.331919"	"0.000006"	"1"	""		"19.64258207"	"25.82951773"	"3s2.3p4.(3P).4p"	"4D*"	"1/2"	"3s2.3p4.(3P).7s"	"4P"	"1/2"	2	2		""	"L14821"	
Mn	2	"200.335"	"0.002"	"200.33472"	"0.00008"	"20H"	""		"1.8094049"	"7.996254"	"3d6"	"a 5D"	"3"	"3d5.(4G).4p"	"z 5G*"	"4"	7	9		""	"L562"	
Fe	2	"200.3506"	"0.0005"	"200.351268"	"0.000011"	"600bl(Fe III)"	""		"7.4725712"	"13.6589094"	"3d5.4s2"	"c 4D"	"7/2"	"3d6.(3F2).5p"	"4F*"	"9/2"	8	10		""	"L18349c142"	
S	2	"200.3540"	"0.0007"	"200.3538"	"0.0004"	"3800"	"6.12e+06"	D	"9.914103"	"16.100363"	"3s.3p4"	"4P"	"1/2"	"3s2.3p2.(3P).4p"	"4P*"	"3/2"	2	4		"T3186c85"	"L5883"	
Cr	1	"200.355"	"0.005"	"200.35592"	"0.00016"	"5"	""		"1.03000806"	"7.216203"	"3d4.4s2"	"a 5D"	"4"	"3d5.(2F1).4p"	"s 3F*"	"3"	9	7		""	"L808"	
Fe	1	"200.3605"	"0.00024"	"200.360565"	"0.000010"	"1"	""		"0.95815732"	"7.14420856"	"3d7.(4F).4s"	"a 5F"	"3"	"3d6.4s.(6D<3/2>).4f"	"2[9/2]*"	"4"	7	9		""	"L11631c80"	
Fe	2	"200.3605"	"0.0005"	"200.361557"	"0.000010"	"310bl(Fe I)"	""		"7.9400585"	"14.1260791"	"3d6.(3F2).4p"	"y 4G*"	"7/2"	"3d6.(5D).6d"	"6D"	"5/2"	8	6		""	"L18349c143"	
